¼à²âÊ±¼ä	Ò»Ñõ»¯Ì¼	¶þÑõ»¯µª	³ôÑõ	PM10	PM2.5	¶þÑõ»¯Áò	AQI
2020/6/7	0.6	22	129	59	39	4	75
2020/6/6	0.7	43	198	86	48	8	135
2020/6/5	0.7	59	240	85	45	7	175
2020/6/4	0.6	47	212	73	36	6	148
2020/6/3	0.5	48	153	60	25	6	95
2020/6/2	0.4	24	133	25	11	4	78
2020/6/1	0.5	23	99	44	29	4	50
2020/5/31	0.6	32	211	89	63	5	147
2020/5/30	0.6	43	197	75	47	6	134
2020/5/29	0.5	41	169	55	31	7	109
2020/5/28	0.5	32	132	41	21	8	77
2020/5/27	0.5	32	115	33	17	5	63
2020/5/26	0.8	52	69	71	43	7	65
2020/5/25	0.5	33	81	33	20	5	42
2020/5/24	0.4	19	78	31	15	4	39
2020/5/23	0.7	56	246	93	52	7	181
2020/5/22	0.6	48	127	55	24	6	73
2020/5/21	0.6	36	68	52	33	4	51
2020/5/20	0.6	22	118	72	43	5	65
2020/5/19	0.5	42	199	86	42	8	136
2020/5/18	0.5	51	180	75	33	8	119
2020/5/17	0.4	33	156	37	13	4	97
2020/5/16	0.6	39	185	100	64	6	123
2020/5/15	0.6	36	210	108	69	5	146
2020/5/14	0.6	35	178	109	72	4	117
2020/5/13	0.6	55	178	136	65	8	117
2020/5/12	0.6	67	43	123	56	6	87
2020/5/11	0.5	35	88	113	42	5	82
2020/5/10	0.4	29	152	40	17	6	94
2020/5/9	0.4	23	85	51	19	4	51
2020/5/8	0.5	27	130	32	14	6	75
2020/5/7	0.6	21	71	32	21	5	36
2020/5/6	0.7	39	218	86	54	6	153
2020/5/5	0.7	44	164	91	56	7	104
2020/5/4	0.8	46	201	96	56	11	138
2020/5/3	0.9	70	221	98	57	8	156
2020/5/2	0.8	67	216	91	55	8	151
2020/5/1	0.7	45	207	87	62	7	143
2020/4/30	0.6	36	177	67	42	6	116
2020/4/29	0.9	93	103	115	59	9	107
2020/4/28	0.8	76	185	86	44	7	123
2020/4/27	0.7	68	160	76	39	6	100
2020/4/26	0.6	57	159	70	42	9	100
2020/4/25	0.6	54	147	63	35	6	90
2020/4/24	0.4	36	123	51	31	5	70
2020/4/23	0.4	27	101	39	22	8	51
2020/4/22	0.4	25	81	31	15	5	41
2020/4/21	0.4	26	82	33	18	4	41
2020/4/20	0.7	40	87	57	33	6	54
2020/4/19	0.6	36	56	50	28	5	50
2020/4/18	0.5	22	127	45	19	5	73
2020/4/17	0.6	51	104	84	43	6	67
